dataset,method,timeSlice,GT_predict,TRUE
Boring,word2vec_0.30,45,0.022,0.000
Boring,word2vec_0.40,1,0.300,0.500
Boring,word2vec_0.40,2,0.368,0.556
Boring,word2vec_0.40,3,0.481,0.750
Boring,word2vec_0.40,4,0.529,0.714
Boring,word2vec_0.40,5,0.209,0.231
Boring,word2vec_0.40,6,0.163,0.167
Boring,word2vec_0.40,7,0.155,0.083
Boring,word2vec_0.40,8,0.119,0.063
Boring,word2vec_0.40,9,0.121,0.217
Boring,word2vec_0.40,10,0.113,0.182
Boring,word2vec_0.40,11,0.127,0.500
Boring,word2vec_0.40,12,0.142,0.500
Boring,word2vec_0.40,13,0.138,0.000
Boring,word2vec_0.40,14,0.121,0.152
Boring,word2vec_0.40,15,0.111,0.000
Boring,word2vec_0.40,16,0.109,0.154
Boring,word2vec_0.40,17,0.082,0.130
Boring,word2vec_0.40,18,0.080,0.000
Boring,word2vec_0.40,19,0.079,0.000
Boring,word2vec_0.40,20,0.076,0.083
Boring,word2vec_0.40,21,0.074,0.113
Boring,word2vec_0.40,22,0.066,0.054
Boring,word2vec_0.40,23,0.066,0.094
Boring,word2vec_0.40,24,0.068,0.143
Boring,word2vec_0.40,25,0.066,0.000
Boring,word2vec_0.40,26,0.064,0.059
Boring,word2vec_0.40,27,0.051,0.020
Boring,word2vec_0.40,28,0.049,0.056
Boring,word2vec_0.40,29,0.047,0.000
Boring,word2vec_0.40,30,0.044,0.059
Boring,word2vec_0.40,31,0.039,0.052
Boring,word2vec_0.40,32,0.038,0.000
Boring,word2vec_0.40,33,0.038,0.000
Boring,word2vec_0.40,34,0.034,0.056
Boring,word2vec_0.40,35,0.035,0.182
Boring,word2vec_0.40,36,0.034,0.000
Boring,word2vec_0.40,37,0.034,0.000
Boring,word2vec_0.40,38,0.034,0.000
Boring,word2vec_0.40,39,0.034,0.111
Boring,word2vec_0.40,40,0.036,0.064
Boring,word2vec_0.40,41,0.037,0.143
Boring,word2vec_0.40,42,0.036,0.000
Boring,word2vec_0.40,43,0.035,0.000
Boring,word2vec_0.40,44,0.035,0.000
Boring,word2vec_0.40,45,0.033,0.000
Boring,word2vec_0.50,1,0.500,0.600
Boring,word2vec_0.50,2,0.526,0.667
Boring,word2vec_0.50,3,0.556,0.750
Boring,word2vec_0.50,4,0.588,0.714
Boring,word2vec_0.50,5,0.291,0.365
Boring,word2vec_0.50,6,0.265,0.333
Boring,word2vec_0.50,7,0.255,0.333
Boring,word2vec_0.50,8,0.238,0.313
Boring,word2vec_0.50,9,0.208,0.217
Boring,word2vec_0.50,10,0.206,0.455
Boring,word2vec_0.50,11,0.223,0.667
Boring,word2vec_0.50,12,0.244,0.700
Boring,word2vec_0.50,13,0.265,1.000
Boring,word2vec_0.50,14,0.243,0.303
Boring,word2vec_0.50,15,0.218,0.000
Boring,word2vec_0.50,16,0.210,0.154
Boring,word2vec_0.50,17,0.176,0.304
Boring,word2vec_0.50,18,0.171,0.000
Boring,word2vec_0.50,19,0.168,0.000
Boring,word2vec_0.50,20,0.163,0.167
